time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.472560,1.03965547899,-0.217058281486,-0.749733110079,1.52055845599,1.88833034989,-0.970626343534,1.02393217591,8.50694465637,-1.63867497666,0.151864098001,-0.0901213712883,1.41126232485,-3.03383050324,-0.191747598486,-1.8994517106,100.0
0.472732,1.03965547899,-0.217058281486,-0.749733110079,1.52055845599,1.88833034989,-0.970626343534,1.02393217591,8.50694465637,-1.63867497666,0.151864098001,-0.0901213712883,1.41126232485,-3.03383050324,-0.191747598486,-1.8994517106,100.0
0.482844,1.03965547899,-0.216674786289,-0.749349614882,1.52132544639,1.88794685469,-0.971009838731,1.0250826615,8.50694465637,-1.63905847186,0.151864098001,-0.0901213712883,1.41241281045,-3.03421399844,-0.19251458888,-1.90060219619,100.0
0.492785,1.03965547899,-0.216291291092,-0.749349614882,1.52132544639,1.88833034989,-0.970242848338,1.02431567111,8.50694465637,-1.63944196705,0.151480602804,-0.0908883616822,1.41164582005,-3.03344700804,-0.192131093683,-1.90060219619,100.0
0.502818,1.04042246938,-0.216674786289,-0.749733110079,1.52094195119,1.88871384508,-0.970626343534,1.0250826615,8.50694465637,-1.63982546225,0.151480602804,-0.0901213712883,1.41164582005,-3.03498098883,-0.192131093683,-1.90021870099,100.0
0.512797,1.03965547899,-0.216674786289,-0.748966119685,1.52094195119,1.88833034989,-0.971009838731,1.02469916631,8.50694465637,-1.63944196705,0.151864098001,-0.0901213712883,1.41241281045,-3.03344700804,-0.19251458888,-1.8994517106,100.0
0.522819,1.03927198379,-0.216291291092,-0.748966119685,1.52055845599,1.88833034989,-0.970626343534,1.0250826615,8.50694465637,-1.63944196705,0.151480602804,-0.0897378760913,1.41164582005,-3.03383050324,-0.192131093683,-1.90213617698,100.0
0.532831,1.04042246938,-0.216674786289,-0.749349614882,1.52132544639,1.88794685469,-0.971009838731,1.02469916631,8.50694465637,-1.63944196705,0.152247593198,-0.0905048664852,1.41164582005,-3.03268001765,-0.192131093683,-1.90098569139,100.0
0.542837,1.03965547899,-0.216674786289,-0.749349614882,1.52094195119,1.88756335949,-0.971393333928,1.02431567111,8.50694465637,-1.63944196705,0.152247593198,-0.0905048664852,1.41164582005,-3.03344700804,-0.19251458888,-1.90098569139,100.0
0.552844,1.03927198379,-0.216291291092,-0.749349614882,1.52094195119,1.88833034989,-0.971393333928,1.02431567111,8.50694465637,-1.63982546225,0.151864098001,-0.0901213712883,1.41126232485,-3.03459749363,-0.191747598486,-1.90060219619,100.0
0.562828,1.03927198379,-0.216291291092,-0.749733110079,1.52055845599,1.88794685469,-0.971009838731,1.0250826615,8.50694465637,-1.63905847186,0.151864098001,-0.0901213712883,1.41164582005,-3.03306351285,-0.19251458888,-1.8998352058,100.0
0.572835,1.04003897419,-0.216291291092,-0.749349614882,1.52055845599,1.88756335949,-0.971009838731,1.02469916631,8.50694465637,-1.63905847186,0.152247593198,-0.0901213712883,1.41164582005,-3.03421399844,-0.191747598486,-1.90136918658,100.0
0.582822,1.04042246938,-0.217058281486,-0.749733110079,1.52055845599,1.88909734028,-0.971009838731,1.0250826615,8.50694465637,-1.63905847186,0.151864098001,-0.0901213712883,1.41164582005,-3.03498098883,-0.191747598486,-1.90136918658,100.0
0.592855,1.03965547899,-0.216674786289,-0.749733110079,1.52055845599,1.88833034989,-0.970626343534,1.0258496519,8.50694465637,-1.63944196705,0.152247593198,-0.0901213712883,1.41164582005,-3.03344700804,-0.191747598486,-1.90060219619,100.0
0.602857,1.03965547899,-0.216291291092,-0.749733110079,1.52094195119,1.88871384508,-0.971393333928,1.02431567111,8.50694465637,-1.63982546225,0.152247593198,-0.0897378760913,1.41126232485,-3.03344700804,-0.192898084077,-1.90098569139,100.0
0.612856,1.03965547899,-0.216674786289,-0.749733110079,1.52094195119,1.88871384508,-0.970242848338,1.02469916631,8.50694465637,-1.63944196705,0.151864098001,-0.0905048664852,1.41202931525,-3.03459749363,-0.192131093683,-1.90098569139,100.0
0.622833,1.03965547899,-0.216291291092,-0.750116605276,1.52132544639,1.88794685469,-0.970626343534,1.02469916631,8.50694465637,-1.63982546225,0.151864098001,-0.0897378760913,1.41126232485,-3.03421399844,-0.192131093683,-1.90021870099,100.0
0.632860,1.04042246938,-0.216291291092,-0.750500100473,1.52094195119,1.88833034989,-0.971009838731,1.0250826615,8.50694465637,-1.63944196705,0.152247593198,-0.0897378760913,1.41202931525,-3.03383050324,-0.192131093683,-1.8998352058,100.0
0.642842,1.04003897419,-0.217058281486,-0.749349614882,1.52055845599,1.88794685469,-0.970626343534,1.02469916631,8.50694465637,-1.63944196705,0.151864098001,-0.0889708856974,1.41126232485,-3.03383050324,-0.191747598486,-1.8998352058,100.0
0.652848,1.03965547899,-0.216291291092,-0.749733110079,1.52094195119,1.88794685469,-0.971009838731,1.02469916631,8.50694465637,-1.63905847186,0.151864098001,-0.0905048664852,1.41126232485,-3.03344700804,-0.19251458888,-1.90060219619,100.0
0.662828,1.04042246938,-0.216291291092,-0.749733110079,1.52094195119,1.88871384508,-0.970242848338,1.0254661567,8.50694465637,-1.63905847186,0.152247593198,-0.0897378760913,1.41164582005,-3.03344700804,-0.191747598486,-1.90060219619,100.0
0.672824,1.03927198379,-0.216291291092,-0.749349614882,1.52055845599,1.88794685469,-0.971009838731,1.02431567111,8.50694465637,-1.63982546225,0.151864098001,-0.0897378760913,1.41202931525,-3.03383050324,-0.192131093683,-1.90021870099,100.0
