time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
13.444345,1.21337880322,-0.221276728652,-0.957971002034,1.35872348287,1.9500730766,-0.70524766723,-0.39500005288,43.2727279663,-1.64020895745,0.225878671016,-0.0901213712883,1.4565147581,-3.03229652245,-0.722888446291,-1.8990682154,100.0
13.454353,1.21222831763,-0.221276728652,-0.956820516444,1.3548885309,1.9500730766,-0.708699124003,-0.401902966426,43.2727279663,-1.64059245264,0.225878671016,-0.0901213712883,1.45689825329,-3.03229652245,-0.722504951094,-1.8994517106,100.0
13.464355,1.21337880322,-0.221660223849,-0.955286535656,1.35258755972,1.9504565718,-0.712534075973,-0.408805879971,43.2727279663,-1.64020895745,0.22664566141,-0.0901213712883,1.4565147581,-3.03306351285,-0.723271941488,-1.89830122501,100.0
13.474339,1.21299530802,-0.222043719046,-0.954903040459,1.34875260775,1.9500730766,-0.716752523139,-0.41532529832,43.2727279663,-1.64059245264,0.22664566141,-0.0901213712883,1.4565147581,-3.03344700804,-0.722888446291,-1.8990682154,100.0
13.484353,1.21222831763,-0.221660223849,-0.953752554868,1.34530115098,1.9504565718,-0.7217379607,-0.42414568785,43.2727279663,-1.64020895745,0.225878671016,-0.0901213712883,1.4565147581,-3.03421399844,-0.722504951094,-1.8990682154,100.0
13.494344,1.21146132723,-0.222427214243,-0.952602069277,1.34376717019,1.95122356219,-0.726339903064,-0.432199086987,43.2727279663,-1.64059245264,0.225878671016,-0.0908883616822,1.4565147581,-3.03229652245,-0.722888446291,-1.8990682154,100.0
13.504341,1.21107783204,-0.222043719046,-0.951068088489,1.33878173263,1.95122356219,-0.731325340624,-0.440252486123,43.2727279663,-1.63982546225,0.226262166213,-0.0905048664852,1.4565147581,-3.03344700804,-0.723271941488,-1.89830122501,100.0
13.514352,1.21184482243,-0.223194204637,-0.951068088489,1.33648076145,1.95160705739,-0.735160292594,-0.44945637085,43.2727279663,-1.64020895745,0.225878671016,-0.0901213712883,1.45536427251,-3.03268001765,-0.722504951094,-1.8990682154,100.0
13.524367,1.21107783204,-0.223194204637,-0.949917602898,1.33379629507,1.95237404778,-0.740912720549,-0.459810741169,43.2727279663,-1.63982546225,0.22664566141,-0.0905048664852,1.45689825329,-3.03306351285,-0.722121455897,-1.89868472021,100.0
13.534391,1.21031084164,-0.223194204637,-0.947616631716,1.33072833349,1.95237404778,-0.745514662912,-0.468247635502,43.2727279663,-1.63982546225,0.225495175819,-0.0905048664852,1.45536427251,-3.03268001765,-0.722504951094,-1.8994517106,100.0
13.544356,1.21069433684,-0.223194204637,-0.946466146125,1.32689338152,1.95352453337,-0.75088359567,-0.47860200582,43.2727279663,-1.64059245264,0.225878671016,-0.0912718568792,1.4565147581,-3.03268001765,-0.723271941488,-1.8990682154,100.0
13.554360,1.20992734644,-0.223577699834,-0.94454867014,1.32382541995,1.95467501896,-0.756636023624,-0.488956376138,43.2727279663,-1.64020895745,0.226262166213,-0.0905048664852,1.4557477677,-3.03306351285,-0.722504951094,-1.8990682154,100.0
13.564355,1.20916035605,-0.224344690228,-0.942631194156,1.32037396317,1.95505851416,-0.762004956382,-0.500844727245,43.2727279663,-1.64020895745,0.225878671016,-0.0908883616822,1.4565147581,-3.03268001765,-0.722504951094,-1.90021870099,100.0
13.574355,1.20954385125,-0.224344690228,-0.940330222974,1.31807299199,1.95582550455,-0.768140879534,-0.511199097563,43.2727279663,-1.64020895745,0.226262166213,-0.0912718568792,1.45536427251,-3.03344700804,-0.722121455897,-1.8990682154,100.0
