time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.358926,1.04655839253,-0.219359252668,-0.754335052443,1.51480602804,1.89216530186,-0.974077800307,-0.502378708032,55.1155128479,-1.63944196705,0.151864098001,-0.0893543808943,1.41164582005,-3.03152953206,-0.193281579274,-1.90021870099,100.0
0.359111,1.04655839253,-0.219359252668,-0.754335052443,1.51480602804,1.89216530186,-0.974077800307,-0.502378708032,55.1155128479,-1.63944196705,0.151864098001,-0.0893543808943,1.41164582005,-3.03152953206,-0.193281579274,-1.90021870099,100.0
0.369202,1.04540790694,-0.218208767077,-0.754335052443,1.51442253284,1.89254879705,-0.974077800307,-0.501611717639,55.1155128479,-1.63982546225,0.151864098001,-0.0893543808943,1.41126232485,-3.03306351285,-0.192898084077,-1.8990682154,100.0
0.379211,1.04655839253,-0.218592262274,-0.754335052443,1.51442253284,1.89216530186,-0.97369430511,-0.502378708032,55.1155128479,-1.64020895745,0.151864098001,-0.0897378760913,1.41164582005,-3.03268001765,-0.192898084077,-1.90098569139,100.0
0.389211,1.04617489734,-0.218592262274,-0.754335052443,1.51403903764,1.89293229225,-0.974077800307,-0.503145698426,55.1155128479,-1.64020895745,0.151864098001,-0.0897378760913,1.41126232485,-3.03229652245,-0.192898084077,-1.8998352058,100.0
0.399192,1.04617489734,-0.218975757471,-0.753951557246,1.51403903764,1.89254879705,-0.97369430511,-0.502762203229,55.1155128479,-1.64020895745,0.152247593198,-0.0893543808943,1.41241281045,-3.03306351285,-0.192898084077,-1.90060219619,100.0
0.409195,1.04579140214,-0.218975757471,-0.754335052443,1.51442253284,1.89216530186,-0.974844790701,-0.502378708032,55.1155128479,-1.63905847186,0.152631088395,-0.0893543808943,1.41164582005,-3.03268001765,-0.193281579274,-1.8998352058,100.0
0.419239,1.04540790694,-0.218975757471,-0.753951557246,1.51442253284,1.89293229225,-0.974461295504,-0.501995212836,55.1155128479,-1.63944196705,0.151864098001,-0.0901213712883,1.41202931525,-3.03229652245,-0.194048569668,-1.90136918658,100.0
0.429444,1.04617489734,-0.218208767077,-0.754335052443,1.51480602804,1.89293229225,-0.972927314716,-0.501995212836,55.1155128479,-1.64020895745,0.151480602804,-0.0901213712883,1.41126232485,-3.03344700804,-0.192898084077,-1.8998352058,100.0
0.439195,1.04617489734,-0.218592262274,-0.754335052443,1.51480602804,1.89293229225,-0.974461295504,-0.501995212836,55.1155128479,-1.64020895745,0.152247593198,-0.0897378760913,1.41164582005,-3.03229652245,-0.193665074471,-1.90098569139,100.0
0.449205,1.04655839253,-0.218975757471,-0.755485538034,1.51442253284,1.89254879705,-0.97369430511,-0.502378708032,55.1155128479,-1.63982546225,0.152247593198,-0.0901213712883,1.41126232485,-3.03191302726,-0.194048569668,-1.8994517106,100.0
0.459203,1.04655839253,-0.219359252668,-0.754335052443,1.51480602804,1.89254879705,-0.97369430511,-0.502378708032,55.1155128479,-1.63982546225,0.152247593198,-0.0905048664852,1.41164582005,-3.03268001765,-0.193281579274,-1.90098569139,100.0
0.469238,1.04655839253,-0.219359252668,-0.754335052443,1.51480602804,1.89254879705,-0.974461295504,-0.502762203229,55.1155128479,-1.63982546225,0.152247593198,-0.0893543808943,1.41164582005,-3.03344700804,-0.192898084077,-1.90021870099,100.0
0.479202,1.04617489734,-0.218975757471,-0.753951557246,1.51442253284,1.89331578745,-0.974077800307,-0.502762203229,55.1155128479,-1.64020895745,0.151864098001,-0.0897378760913,1.41164582005,-3.03268001765,-0.192898084077,-1.90098569139,100.0
0.489219,1.04540790694,-0.218592262274,-0.754335052443,1.51518952323,1.89254879705,-0.973310809913,-0.502378708032,55.1155128479,-1.64059245264,0.151480602804,-0.0897378760913,1.41241281045,-3.03268001765,-0.192898084077,-1.90021870099,100.0
0.499211,1.04579140214,-0.218975757471,-0.755102042837,1.51403903764,1.89293229225,-0.97369430511,-0.502378708032,55.1155128479,-1.64059245264,0.152247593198,-0.0889708856974,1.41202931525,-3.03191302726,-0.192898084077,-1.90060219619,100.0
0.509236,1.04655839253,-0.218592262274,-0.754335052443,1.51442253284,1.89293229225,-0.97369430511,-0.502378708032,55.1155128479,-1.63944196705,0.151864098001,-0.0893543808943,1.41087882966,-3.03268001765,-0.193281579274,-1.90060219619,100.0
0.519210,1.04655839253,-0.218592262274,-0.753951557246,1.51480602804,1.89254879705,-0.97369430511,-0.502378708032,55.1155128479,-1.63982546225,0.151864098001,-0.0889708856974,1.41202931525,-3.03191302726,-0.193281579274,-1.90021870099,100.0
